time	V(out)
4.319892277501788e-03	3.263106e+00
4.320979237858675e-03	3.264534e+00
4.322066198215562e-03	3.266225e+00
4.323153158572450e-03	3.268177e+00
4.324240118929338e-03	3.270392e+00
4.325327079286225e-03	3.272870e+00
4.326414039643112e-03	3.275609e+00
4.327501000000000e-03	3.278611e+00
4.327501300000001e-03	3.278612e+00
4.327501600000000e-03	3.278613e+00
4.327502000000000e-03	3.278614e+00
4.332436245000256e-03	3.290796e+00
4.337370490000511e-03	3.300997e+00
4.342304735000766e-03	3.309217e+00
4.347238980001022e-03	3.315457e+00
4.352173225001277e-03	3.319716e+00
4.357107470001532e-03	3.321995e+00
4.362041715001787e-03	3.322294e+00
4.366924527501787e-03	3.320972e+00
4.371807340001787e-03	3.317985e+00
4.376690152501787e-03	3.313397e+00
4.381572965001787e-03	3.307272e+00
4.386455777501787e-03	3.299673e+00
4.388390666430103e-03	3.296356e+00
4.390325555358419e-03	3.292811e+00
4.392260444286735e-03	3.289039e+00
4.394195333215052e-03	3.285040e+00
4.396130222143368e-03	3.280814e+00
4.398065111071684e-03	3.276361e+00
4.400000000000000e-03	3.271680e+00
4.400000100000001e-03	3.271679e+00
4.400000300000001e-03	3.271679e+00
4.400000600000000e-03	3.271678e+00
4.400001000000001e-03	3.271677e+00
4.401447521785971e-03	3.268477e+00
4.402894043571940e-03	3.265714e+00
4.404340565357909e-03	3.263390e+00
4.405787087143879e-03	3.261504e+00
4.407233608929849e-03	3.260056e+00
4.408680130715818e-03	3.259046e+00
4.410126652501788e-03	3.258475e+00
4.415009465001788e-03	3.258778e+00
4.419892277501788e-03	3.263106e+00
4.420979237858676e-03	3.264534e+00
4.422066198215563e-03	3.266224e+00
4.423153158572450e-03	3.268177e+00
4.424240118929338e-03	3.270392e+00
4.425327079286226e-03	3.272870e+00
4.426414039643113e-03	3.275609e+00
4.427501000000000e-03	3.278611e+00
4.427501300000000e-03	3.278612e+00
4.427501600000001e-03	3.278613e+00
4.427502000000001e-03	3.278614e+00
4.432436245000256e-03	3.290796e+00
4.437370490000511e-03	3.300997e+00
4.442304735000766e-03	3.309217e+00
4.447238980001022e-03	3.315457e+00
4.452173225001277e-03	3.319716e+00
4.457107470001533e-03	3.321995e+00
4.462041715001788e-03	3.322294e+00
4.466924527501788e-03	3.320972e+00
4.471807340001788e-03	3.317984e+00
4.476690152501787e-03	3.313396e+00
4.481572965001787e-03	3.307272e+00
4.486455777501787e-03	3.299672e+00
4.488390666430103e-03	3.296355e+00
4.490325555358420e-03	3.292811e+00
4.492260444286736e-03	3.289039e+00
4.494195333215052e-03	3.285040e+00
4.496130222143368e-03	3.280814e+00
4.498065111071685e-03	3.276361e+00
4.500000000000001e-03	3.271680e+00
4.500000100000000e-03	3.271679e+00
4.500000300000000e-03	3.271679e+00
